Date reported to Alberta Health,Number of lab tests,Cumulative number of lab tests,Number of cases,Cumulative number of cases,Cumulative number of deaths,Number of deaths,Percent positivity
2020-04-12,2305,79276,68,1622,45,0,2.52
2020-04-13,2136,81412,68,1690,48,3,2.76
2020-04-14,2572,83984,127,1817,48,0,4.67
2020-04-15,3092,87076,133,1950,50,2,3.85
2020-04-16,3099,90175,146,2096,50,0,4.94
2020-04-17,5238,95413,213,2309,54,4,4.01
2020-04-18,3800,99213,187,2496,57,3,4.79
2020-04-19,4370,103583,201,2697,62,5,4.51
2020-04-20,4009,107592,183,2880,66,4,4.71
2020-04-21,4313,111905,264,3144,72,6,5.91
2020-04-22,4057,115962,294,3438,75,3,7.2
2020-04-23,4471,120433,340,3778,80,5,7.67
2020-04-24,4531,124964,232,4010,80,0,5.16
2020-04-25,4664,129628,222,4232,84,4,4.97
2020-04-26,4301,133929,203,4435,88,4,4.49
2020-04-27,3444,137373,178,4613,90,2,5.14
2020-04-28,4362,141735,249,4862,94,4,5.89
2020-04-29,5077,146812,231,5093,96,2,4.53
